participant_id,pc1,pc2,neighborhood,neighborhood_label,song_title,song_artist
23ef7162,-0.09081676248530464,0.03337368072682815,0,Calm / Nostalgic / At,Expectations,Olivia Rodrigo
978195d6,0.5992224430181149,-0.6516395994225596,3,Happy / Happy Because / Because,The bare necessities,Shalin
f743111a,0.19847311855825808,-0.3012524778794202,3,Happy / Happy Because / Because,Back to Oz,Sufjan Stevens & Angelo De Augustine
8e2d6495,0.012319782199568622,-0.1461766598044126,0,Calm / Nostalgic / At,"Youâre on your own, kid",Taylor Swift
8037aac3,-0.10007001329926582,0.03310988547638029,0,Calm / Nostalgic / At,Locked out of heaven,Bruno Mars
9c6ea6dd,-0.12962400830878834,0.026789874102058412,0,Calm / Nostalgic / At,Feelin good again,Robert Earl Keen
bbf68ff9,-0.1081999680140368,0.012083190228629562,0,Calm / Nostalgic / At,Saturday Night,Misfits
9e7407e8,0.09971072260608152,-0.1953949181957186,3,Happy / Happy Because / Because,Moscow Mule,Bad bunny
9e7407e8,-0.11566388272388334,0.03914790901191668,0,Calm / Nostalgic / At,Candy Rain,Soul For Real
95625628,-0.13657586852320378,0.021198392439485424,0,Calm / Nostalgic / At,Mountain Song,Flatland Cavalry
ca50b8d7,-0.1104008486823068,-0.006242613668364153,0,Calm / Nostalgic / At,Coming of Age,Foster the People
f0e452fe,-0.08804078561486549,-0.030991230332557913,0,Calm / Nostalgic / At,Billie Jean,Micheal Jackson
61747b88,0.8684549456663556,0.17432784817197636,1,Relaxed / Happy Relaxed / Happy,Safe and Sound,Capital Cities
6b655ef5,-0.11075889614999455,0.04480390251149558,0,Calm / Nostalgic / At,Carolina in my Mind,James Taylor
f1413414,-0.14915630594535764,0.014097197647111896,2,Upbeat / Dance / Happy Upbeat,SeÃ±orita,Justin Timberlake
bd0979de,-0.10393054570271874,0.032116323222683596,0,Calm / Nostalgic / At,Spanish Joint,DâAngelo
d40151a5,-0.1461223600215869,0.044172123316440964,0,Calm / Nostalgic / At,Nutshell,Alice in Chains
eeaca6e9,-0.12698103130609206,0.04106452104329846,0,Calm / Nostalgic / At,Judas,Lady gaga
eeaca6e9,-0.07309275049348982,0.029811035448892118,0,Calm / Nostalgic / At,Tenebre Rosso Sangue,Keygen Church
bf546dd8,0.13529390446730438,-0.30952958862891394,2,Upbeat / Dance / Happy Upbeat,Petal,Ariana Grande
33b1248b,0.5992224430181149,-0.6516395994225596,3,Happy / Happy Because / Because,Cruel Power,The Happy Fits
30c4aebf,-0.1505734805496511,0.025799589259638225,0,Calm / Nostalgic / At,Champagne Supernova,Oasis
2d3ba0ed,0.5992224430181149,-0.6516395994225596,3,Happy / Happy Because / Because,Simple Man,Lynyrd Skynyrd
66c7b16e,0.6009214305330974,0.712383918093897,1,Relaxed / Happy Relaxed / Happy,Why,Dominic Fike
ae38bdc6,-0.07309275049348982,0.029811035448892118,0,Calm / Nostalgic / At,You'll Be Gone,YonKaGor
f9211aa4,-0.1131328972190596,0.16208610270637877,0,Calm / Nostalgic / At,Viva la vida,Cold play
33201ef9,-0.10414751498303523,0.03524573382072087,0,Calm / Nostalgic / At,Burn it Down,Parker Mccollum
902d5837,-0.10268277532753535,0.042214057632820406,0,Calm / Nostalgic / At,On me,Lil Baby
902d5837,-0.13021809360315426,0.025980400576649628,0,Calm / Nostalgic / At,Champagne Supernova,Oasis
f2de5ff6,-0.13829994637336723,0.039931391527494586,0,Calm / Nostalgic / At,Spring into Summer,Lizzy McAlpine
cfb2f30b,-0.1443144307147167,0.022784872078051396,0,Calm / Nostalgic / At,Purple Rain,Prince
e39493f0,-0.07309275049348982,0.029811035448892118,0,Calm / Nostalgic / At,Gods Country,Blake Shelton
e39493f0,-0.10279338338088152,0.03991393255732224,0,Calm / Nostalgic / At,Family Ties,Baby Keem
e8b50d18,-0.07309275049348982,0.029811035448892118,0,Calm / Nostalgic / At,A dog song,AJR
